N,TROCAS,SEASON,TYPE,RIVER,RIVER2,STATION,Name TROCAS,DATE,LATITUDE,LONGITUDE,CHLA-HPLC,CHLA-FLUOR,TEMP,PH,TSM (mg/L)
1,1,H,A,OR,O,1T01,Obidos Margem Direita Superficie,05/01/14,-1.958,-55.4811,0.448,0.88566192,28.9,6.6,
2,1,H,A,OL,O,1T02,Obidos Margem Esquerda Superficie,05/01/14,-1.9402,-55.4865,0.769,1.41075792,29.1,6.62,
3,1,H,A,OC,O,1T03,Obidos Meio Superficie,05/01/14,-1.9461,-55.4945,0.415,0.85648992,28.8,6.6,
4,1,H,O,T,T,1T04,Tapajos meio superficie,05/02/14,-2.459,-55.006,22.966,31.29883328,29.7,6.46,5.49666666666667
5,1,H,A,AC,A,1T05,Almerim Meio Superficie,05/04/14,-1.5702,-52.6318,0.651,1.09570032,28.9,6.68,54.5403333333333
6,1,H,A,AL,A,1T06,Almerim Margem Esquerda Superficie,05/04/14,-1.563,-52.6625,0.639,1.04319072,29,6.68,85.8305
7,1,H,A,AR,A,1T07,Almerim Margem Direita Superficie,05/04/14,-1.5887,-52.6472,0.664,1.12876192,28.9,6.63,55.3216666666667
8,1,H,O,X,X,1T08,Xingu meio superficie,05/05/14,-1.7599,-52.2564,2.658,2.85600362666667,29.6,6.43,5.65266666666666
9,1,H,A,MNL,MN,1T09,Macapa Norte Margem Esquerda Superficie,05/06/14,-0.025,-51.0357,0.488,0.68145792,28.5,6.79,57.2383333333334
10,1,H,A,MNC,MN,1T10,Macapa Norte Meio Superficie,05/06/14,-0.0564,-51.0303,0.444,0.89149632,28.7,6.85,49.7978333333333
11,1,H,A,MNR,MN,1T11,Macapa Norte Margem Direita Superficie,05/06/14,-0.0644,-51.0106,0.542,0.79620112,28.6,6.74,72.87
12,1,H,A,MSR,MS,1T12,Macapa Sul Margem Direita Superficie,05/09/14,-0.1666,-50.5618,0.634,1.07625232,28.5,6.74,63.6466666666667
13,1,H,A,MSC,MS,1T13,Macapa Sul Meio Superficie,05/09/14,-0.1695,-50.6178,0.479,1.17738192,28.6,6.72,60.70525
14,1,H,A,MSL,MS,1T14,Macapa Sul Margem Esquerda Superficie,05/09/14,-0.1322,-50.6403,0.57,0.64061712,28.8,6.76,62.3029192938209
15,2,L,A,OR,O,2T01,Obidos Margem Direita Superficie,11/06/14,-1.9398,-55.5105,1.643,2.21279344,30.4,6.98,58.3975
16,2,L,A,OC,O,2T02,Obidos Meio Superficie,11/06/14,-1.9383,-55.5065,1.51,1.50488624,30.6,6.96,50.5073888888889
17,2,L,A,OL,O,2T03,Obidos Margem Esquerda Superficie,11/06/14,-1.9346,-55.5048,1.562,2.01053424,30.6,6.96,62.8914
18,2,L,O,T,T,2T04,Tapajos meio superficie,11/07/14,-2.4591,-55.0064,7.143,8.46445028,30.7,6.9,6.81179471544716
19,2,L,A,S50,S50,2T05,Santarem + 50 - margem Direita,11/09/14,-2.4059,-54.2121,2.181,2.62120144,30.5,7.04,
20,2,L,A,AL,A,2T06,Almerim Margem Esquerda Superficie,11/10/14,-1.5673,-52.6784,0.659,1.73826224,29.3,7.26,53.3231726190477
21,2,L,A,AC,A,2T07,Almerim Meio Superficie,11/10/14,-1.57678,-52.6684,1.273,1.83550224,30.4,7.29,45.5627943376069
22,2,L,A,AR,A,2T08,Almerim Margem Direita Superficie,11/10/14,-1.5869,-52.6668,1.685,2.22251744,30.6,7.26,39.1614583333333
23,2,L,O,P,P,2T09,Paru meio superficie,11/10/14,-1.5205,-52.6501,3.172,3.55859504,31.6,7.01,
24,2,L,O,X,X,2T10,Xingu meio superficie,11/12/14,-1.7755,-52.2451,5.894,6.69468228,30.2,7.11,6.76825
25,2,L,A,MSL,MS,2T11,Macapa Sul Margem Esquerda Superficie,11/13/14,-0.13686,-50.6481,1.388,1.35513664,30.5,7.29,49.0579199016563
26,2,L,A,MSC,MS,2T12,Macapa Sul Meio Superficie,11/13/14,-0.16156,-50.6231,1.069,1.53016864,30.3,7.16,54.6589743589743
27,2,L,A,MSR,MS,2T13,Macapa Sul Margem Direita Superficie,11/13/14,-0.1735,-50.5947,1.506,1.59823664,30.2,7.16,50.3190833333333
28,2,L,A,MNR,MN,2T14,Macapa Norte Margem Direita Superficie,11/15/14,-0.0806,-50.9937,1.243,1.62935344,30.2,7.26,44.9201345637392
29,2,L,A,MNC,MN,2T15,Macapa Norte Meio Superficie,11/15/14,-0.06148,-51.03,0.993,1.52433424,30.6,7.33,
30,2,L,A,MNL,MN,2T16,Macapa Norte Margem Esquerda Superficie,11/15/14,-0.04786,-51.0769,1.299,1.35124704,30.4,7.32,51.7702007469654
32,3,F,A,OR,O,3T01,Obidos Margem Direita Superficie,07/05/15,-1.942194,-55.509806,0.195,0.495405386666667,28.9,5.832,50.8914634146342
33,3,F,A,OC,O,3T02,Obidos Meio Superficie,07/05/15,-1.940083,-55.500583,0.28,0.454953546666667,28.8,5.825,
34,3,F,A,OL,O,3T03,Obidos Margem Esquerda Superficie,07/05/15,-1.934,-55.500139,0.47,0.744728746666667,29,5.82,50.3077512735327
35,3,F,A,GLC,GLC,3T04,L.G. Curuai superficie,07/06/15,-2.242306,-55.109639,2.651,3.32353354666667,29.9,,
36,3,F,O,T,T,3T05,Tapajos meio superficie,07/07/15,-2.465278,-55.023472,1.742,3.08346743466667,29.6,5.564,2.3651
37,3,F,A,S50,S50,3T06,Santarem + 50 - margem Direita,07/09/15,-2.39625,-54.233472,0.341,0.803072746666667,28.9,5.93566666666667,59.6098841463414
38,3,F,A,AL,A,3T07,Almerim Margem Esquerda Superficie,07/10/15,-1.565639,-52.666667,0.632,0.826410346666667,29,6.066,65.7207647058823
39,3,F,A,AC,A,3T08,Almerim Meio Superficie,07/10/15,-1.577306,-52.666222,0.505,0.764176746666667,29.2,6.038,35.4355396878138
40,3,F,A,AR,A,3T09,Almerim Margem Direita Superficie,07/10/15,-1.587361,-52.664722,0.609,1.06756554666667,29.3,6.03,36.9674947735191
41,3,F,O,P,P,3T10,Paru meio superficie,07/10/15,-1.498417,-52.68625,0.681,1.78623397333333,28.9,5.42733333333333,17.8289
42,3,F,O,X,X,3T11,Xingu meio superficie,07/12/15,-1.815611,-52.228833,1.724,2.26932229333333,29.8,6.60766666666667,1.84657012195124
